,period,SMA,EMA,WMA,DEMA,KAMA,MIDPOINT,T3,TEMA,TRIMA
24,28,3.7000580409490733,2.265759217854206,2.29465726843264,1.7616141687963605,2.453747026094106,1.9671088109522648,1.8777713106067384,1.747360112172624,2.461683036802918
25,29,3.144539845368185,2.3566887530546317,2.389931788668315,1.7686034805103188,2.1480303499761964,1.4639229342601012,1.8518294045021033,1.7442816835652373,2.3518611051824805
26,30,2.7159007027211226,2.4429316031261266,2.4984796902966484,1.7767572685530513,1.8785013338469723,1.2011776159281842,1.8316710307764428,1.7423313859334375,2.262077367975602
27,31,2.2976549418359213,2.5067114716342243,2.5942204933432254,1.7860841985866522,1.7586494349864845,1.1168429723025493,1.8159375280269867,1.741375182131933,2.1668390963911124
28,32,2.0108400373699835,2.518763298519284,2.64049037794953,1.7966120292284273,1.6528540641550273,1.1877820807556094,1.8036227338256199,1.741302883475798,2.0826353285959605
29,33,1.8194023032628277,2.441292061216528,2.5827948666636553,1.8083864658168478,1.5243035174583743,1.4146620581584666,1.7939717585036774,1.742023988618413,2.003102639179375
30,34,1.7402553988999672,2.2500028272313486,2.389430982560256,1.8214704559106012,1.4929139382638439,1.8506844325527407,1.7864113453202286,1.7434643888930914,1.9379808256798172
31,35,1.7279898107967149,1.9886100216533982,2.103565899318571,1.8359438107077206,1.5286076235906487,2.7884645246241946,1.7805013774736809,1.7455637496145822,1.8861103079259973
32,36,1.7549032416159513,1.8250649007416797,1.933782068976386,1.8519030427633374,1.6362464957101996,4.729675591299774,1.7759006588360131,1.7482734214396793,1.849974335326055
33,37,1.8115246271950292,1.9893361392447166,2.146861805461585,1.8694613032557212,1.7310230678170608,10.06342826980129,1.772342432459871,1.7515547696740092,1.8244161830249603
34,38,1.861324869743334,2.5452189548820963,2.7291176345743513,1.8887482798919175,1.777185213455263,5.744316666917174,1.76961662222765,1.7553778350911657,1.8098298148177197
35,39,1.8984994509514859,3.27449875609713,3.3594849273685425,1.9099098757958233,1.8114798884221175,9.380676809786763,1.7675567753580042,1.759720259402828,1.8012235876490041
36,40,1.9146766522558147,3.8822077150518144,3.7803962379931897,1.9331074245311073,1.822528679920052,5.1666666666669645,1.766030334899011,1.764566423481091,1.798337843821793
37,41,1.9215788797813047,4.226216016705523,3.9503014674532464,1.9585160979814218,1.8058336988006574,12.076923076923403,1.7649313025464843,1.7699067578982284,1.797227605929279
38,42,1.9278608129335253,4.325457997014863,3.947709334872516,1.9863220194410458,1.7483494997323774,1.0,1.764174640211214,1.7757371941462943,1.797100949617614
39,43,1.9277505686635101,4.261578473122237,3.8493016705420113,2.0167173862120413,1.7071278660845886,1.0,1.7636919530895696,1.7820587316529413,1.797357347136043
40,44,1.949869376849014,4.111169630045088,3.713227484215653,2.04989261013444,1.7203615387022808,12.076923076921112,1.7634281293824787,1.7888771008848654,1.7978252556733942
41,45,1.9601834855395477,3.925930816948802,3.5632533638727857,2.0860240692949747,1.7154747960554184,5.1666666666652965,1.7633387029213148,1.7962025067763772,1.7988167684275644
42,46,1.9523487234229746,3.735336623526498,3.4120928771999353,2.1252554910093124,1.7160068487006892,2.9393939393935895,1.76338776833599,1.804049439693367,1.7993064852172855
43,47,1.9335285028679314,3.554155791086443,3.2682003197371294,2.167670212905322,1.6918993015865458,2.2842491362617503,1.763546322981157,1.812436543332463,1.7992553808655076
44,48,1.926684246340637,3.38866264071477,3.137598452284645,2.2132505617324076,1.6747376907408589,4.519985434961785,1.7637909415616844,1.8213865304925905,1.7982374775979784
45,49,1.8936821625933316,3.240626534818026,3.015180092738374,2.261819352175221,1.6635399216939806,2.9486164118229707,1.7641027122651096,1.8309261386307807,1.7965261891211715
46,50,1.8639901272448915,3.1096082763864623,2.9032316134915326,2.312957146762038,1.6637201127869796,2.0701146114882594,1.764466379896128,1.8410861175718385,1.7911082216574457
47,51,1.8274309297710434,2.9942021657954854,2.8002934230949235,2.3658877751461342,1.63592501248514,1.5984952493827984,1.7648696538471529,1.8519012417011675,1.78513860966135
48,52,1.8139956257538328,2.8926765510751355,2.7089711029547567,2.419324522208358,1.6362421511177212,1.3812301340883484,1.7653026479818572,1.863410338404881,1.7765951377400797
49,53,1.8299766994449682,2.803286956293284,2.630826317877776,2.471272151755487,1.6392919295076123,1.4320503064347079,1.7657574265149583,1.875656323384448,1.7694992546876582
50,54,1.8481810828043128,2.724416537945177,2.5632777068362658,2.518789039344334,1.6757959623525454,1.5336763985701378,1.76622763534713,1.8886862316656412,1.762026153189906
51,55,1.8595173445549324,2.654628168035447,2.5042323108850617,2.5577353848472923,1.7048392494807567,1.7553305762523042,1.766708202477806,1.902551230509307,1.7558095208928404
52,56,1.8640827006424112,2.5926730724533003,2.451813572364555,2.582577573776993,1.7225618296700904,2.0705361587822395,1.767195094378087,1.9173065968256198,1.7505651040643193
53,57,1.871657781214081,2.537479545805159,2.406431207200439,2.5863975226315117,1.7256592036445826,2.1481026652386053,1.7676851177728168,1.9330116368388708,1.7460675899511686
54,58,1.881904283104545,2.4881337988443795,2.367169016860179,2.5613763268306178,1.7247632504676635,2.7203966443249565,1.7681757583224533,1.949729519317231,1.7437114962761968
55,59,1.888406856424446,2.4438589196809577,2.33270777076937,2.500162340558299,1.7247288387054411,2.8309880518059938,1.7686650493202591,1.9675269852405175,1.741826961004764
